종목코드,종목명,분류,순자산_조원
069500,KODEX 200,국내지수,6.50
102110,TIGER 200,국내지수,3.00
148020,KBSTAR 200,국내지수,1.20
278530,KODEX 200TR,국내지수,1.50
069660,KOSEF 200,국내지수,0.40
310970,TIGER MSCI Korea TR,국내지수,0.40
229200,KODEX 코스닥150,국내지수,1.00
232080,TIGER 코스닥150,국내지수,0.40
122630,KODEX 레버리지,레버리지·인버스,2.20
233740,KODEX 코스닥150레버리지,레버리지·인버스,1.30
252670,KODEX 200선물인버스2X,레버리지·인버스,1.80
114800,KODEX 인버스,레버리지·인버스,1.00
251340,KODEX 코스닥150선물인버스,레버리지·인버스,0.70
360750,TIGER 미국S&P500,해외지수,8.00
379800,KODEX 미국S&P500,해외지수,6.00
133690,TIGER 미국나스닥100,해외지수,5.50
379810,KODEX 미국나스닥100,해외지수,3.50
381170,TIGER 미국테크TOP10,해외지수,4.00
465580,ACE 미국빅테크TOP7 Plus,해외지수,2.00
381180,TIGER 미국필라델피아반도체나스닥,해외지수,2.00
390390,KODEX 미국반도체MV,해외지수,1.50
371460,TIGER 차이나전기차SOLACTIVE,해외지수,1.80
192090,TIGER 차이나CSI300,해외지수,0.50
238720,KODEX 일본TOPIX,해외지수,0.30
487340,KODEX 미국AI전력핵심인프라,테마·섹터,1.50
449450,PLUS K방산,테마·섹터,1.50
494670,TIGER 조선TOP10,테마·섹터,1.00
466920,SOL 조선TOP3플러스,테마·섹터,0.50
102780,KODEX 삼성그룹,테마·섹터,1.20
091160,KODEX 반도체,테마·섹터,1.20
139260,TIGER 200 IT,테마·섹터,0.60
305720,KODEX 2차전지산업,테마·섹터,1.00
364980,TIGER 2차전지테마,테마·섹터,0.80
091170,KODEX 은행,테마·섹터,0.50
091180,KODEX 자동차,테마·섹터,0.40
228790,TIGER 화장품,테마·섹터,0.30
143860,TIGER 헬스케어,테마·섹터,0.30
227540,TIGER 200헬스케어,테마·섹터,0.20
117460,KODEX 에너지화학,테마·섹터,0.20
329200,TIGER 리츠부동산인프라,테마·섹터,0.40
153130,KODEX 단기채권,채권,3.00
214980,KODEX 단기채권PLUS,채권,2.50
456600,KODEX 머니마켓액티브,채권,3.00
157450,TIGER 단기통안채,채권,2.00
148070,KOSEF 국고채10년,채권,0.60
411060,ACE 미국30년국채액티브(H),채권,1.20
476550,TIGER 미국30년국채프리미엄액티브(H),채권,1.00
329750,TIGER 미국달러단기채권액티브,채권,0.80
132030,KODEX 골드선물(H),원자재·통화,1.00
319640,TIGER 골드선물(H),원자재·통화,0.40
261220,KODEX WTI원유선물(H),원자재·통화,0.50
130680,TIGER 원유선물Enhanced(H),원자재·통화,0.20
138230,KOSEF 미국달러선물,원자재·통화,0.30
261240,KODEX 미국달러선물,원자재·통화,0.20
