종목코드,종목명,섹터
005930,삼성전자,반도체
000660,SK하이닉스,반도체
402340,SK스퀘어,지주·기타
009150,삼성전기,IT·전자부품
005380,현대차,자동차
373220,LG에너지솔루션,2차전지
207940,삼성바이오로직스,제약·바이오
028260,삼성물산,지주·기타
105560,KB금융,은행·증권·보험
012450,한화에어로스페이스,방산·항공우주
032830,삼성생명,은행·증권·보험
034020,두산에너빌리티,전력기기·에너지
055550,신한지주,은행·증권·보험
000270,기아,자동차
329180,HD현대중공업,조선·기계
068270,셀트리온,제약·바이오
006400,삼성SDI,2차전지
012330,현대모비스,자동차
086790,하나금융지주,은행·증권·보험
066570,LG전자,IT·전자부품
010120,LS일렉트릭,전력기기·에너지
035420,NAVER,인터넷·SW·게임
034730,SK,지주·기타
267260,HD현대일렉트릭,전력기기·에너지
298040,효성중공업,전력기기·에너지
000810,삼성화재,은행·증권·보험
010130,고려아연,철강·비철
042660,한화오션,조선·기계
009540,HD한국조선해양,조선·기계
005490,POSCO홀딩스,철강·비철
316140,우리금융지주,은행·증권·보험
015760,한국전력,정유·유틸리티
017670,SK텔레콤,통신
042700,한미반도체,반도체
011200,HMM,운송·물류
051910,LG화학,화학·소재
138040,메리츠금융지주,은행·증권·보험
096770,SK이노베이션,정유·유틸리티
033780,KT&G,유통·음식료
018260,삼성에스디에스,인터넷·SW·게임
010140,삼성중공업,조선·기계
000150,두산,지주·기타
006800,미래에셋증권,은행·증권·보험
003550,LG,지주·기타
278470,에이피알,화장품·소비재
003670,포스코퓨처엠,2차전지
079550,LIG넥스원,방산·항공우주
024110,기업은행,은행·증권·보험
010950,S-Oil,정유·유틸리티
035720,카카오,인터넷·SW·게임
086280,현대글로비스,운송·물류
267250,HD현대,지주·기타
064350,현대로템,방산·항공우주
000720,현대건설,건설·부동산
011070,LG이노텍,IT·전자부품
272210,한화시스템,방산·항공우주
047810,한국항공우주,방산·항공우주
030200,KT,통신
078930,GS,지주·기타
307950,현대오토에버,인터넷·SW·게임
003230,삼양식품,유통·음식료
005830,DB손해보험,은행·증권·보험
071050,한국금융지주,은행·증권·보험
003490,대한항공,운송·물류
323410,카카오뱅크,은행·증권·보험
259960,크래프톤,인터넷·SW·게임
005940,NH투자증권,은행·증권·보험
443060,HD현대마린솔루션,조선·기계
0126Z0,삼성에피스홀딩스,제약·바이오
028050,삼성E&A,건설·부동산
047050,포스코인터내셔널,지주·기타
090430,아모레퍼시픽,화장품·소비재
180640,한진칼,운송·물류
007660,이수페타시스,IT·전자부품
006260,LS,지주·기타
161390,한국타이어앤테크놀로지,자동차
016360,삼성증권,은행·증권·보험
047040,대우건설,건설·부동산
352820,하이브,미디어·엔터
039490,키움증권,은행·증권·보험
009830,한화솔루션,화학·소재
064400,LG CNS,인터넷·SW·게임
326030,SK바이오팜,제약·바이오
021240,코웨이,화장품·소비재
128940,한미약품,제약·바이오
267270,HD현대건설기계,조선·기계
377300,카카오페이,은행·증권·보험
032640,LG유플러스,통신
000500,가온전선,전력기기·에너지
000100,유한양행,제약·바이오
241560,두산밥캣,조선·기계
000880,한화,지주·기타
001440,대한전선,전력기기·에너지
062040,산일전기,전력기기·에너지
353200,대덕전자,IT·전자부품
175330,JB금융지주,은행·증권·보험
010060,OCI홀딩스,화학·소재
271560,오리온,유통·음식료
029780,삼성카드,은행·증권·보험
066970,엘앤에프,2차전지
052690,한전기술,전력기기·에너지
051900,LG생활건강,화장품·소비재
034220,LG디스플레이,IT·전자부품
454910,두산로보틱스,로봇·자동화
138930,BNK금융지주,은행·증권·보험
036570,엔씨소프트,인터넷·SW·게임
001040,CJ,지주·기타
088350,한화생명,은행·증권·보험
004020,현대제철,철강·비철
001450,현대해상,은행·증권·보험
082740,한화엔진,조선·기계
000990,DB하이텍,반도체
004170,신세계,유통·음식료
018880,한온시스템,자동차
085620,미래에셋생명,은행·증권·보험
161890,한국콜마,화장품·소비재
002380,KCC,화학·소재
103590,일진전기,전력기기·에너지
036460,한국가스공사,정유·유틸리티
111770,영원무역,화장품·소비재
009420,한올바이오파마,제약·바이오
006360,GS건설,건설·부동산
192820,코스맥스,화장품·소비재
022100,포스코디엑스,인터넷·SW·게임
251270,넷마블,인터넷·SW·게임
011790,SKC,화학·소재
028670,팬오션,운송·물류
302440,SK바이오사이언스,제약·바이오
336260,두산퓨얼셀,전력기기·에너지
031210,서울보증보험,은행·증권·보험
011780,금호석유화학,화학·소재
097950,CJ제일제당,유통·음식료
023530,롯데쇼핑,유통·음식료
035250,강원랜드,미디어·엔터
012750,에스원,인터넷·SW·게임
375500,DL이앤씨,건설·부동산
008930,한미사이언스,제약·바이오
139130,iM금융지주,은행·증권·보험
483650,달바글로벌,화장품·소비재
017800,현대엘리베이터,조선·기계
004800,효성,지주·기타
489790,한화비전,IT·전자부품
450080,에코프로머티리얼즈,2차전지
003690,코리안리,은행·증권·보험
026960,동서,유통·음식료
004370,농심,유통·음식료
005850,에스엘,자동차
282330,BGF리테일,유통·음식료
011170,롯데케미칼,화학·소재
383220,F&F,화장품·소비재
007340,디엔오토모티브,자동차
204320,HL만도,자동차
000240,한국앤컴퍼니,지주·기타
279570,케이뱅크,은행·증권·보험
007070,GS리테일,유통·음식료
103140,풍산,철강·비철
005440,현대지에프홀딩스,지주·기타
081660,휠라홀딩스,화장품·소비재
002790,아모레퍼시픽홀딩스,화장품·소비재
181710,NHN,인터넷·SW·게임
051600,한전KPS,전력기기·에너지
018670,SK가스,정유·유틸리티
014680,한솔케미칼,화학·소재
112610,씨에스윈드,전력기기·에너지
073240,금호타이어,자동차
069960,현대백화점,유통·음식료
457190,이수스페셜티케미컬,화학·소재
139480,이마트,유통·음식료
030000,제일기획,미디어·엔터
462870,시프트업,인터넷·SW·게임
475150,SK엔무브,정유·유틸리티
439260,대한조선,조선·기계
009970,영원무역홀딩스,화장품·소비재
020150,롯데에너지머티리얼즈,2차전지
004990,롯데지주,지주·기타
071970,HD현대마린엔진,조선·기계
089860,롯데렌탈,운송·물류
006040,동원산업,유통·음식료
395400,SK리츠,건설·부동산
120110,코오롱인더,화학·소재
003540,대신증권,은행·증권·보험
011210,현대위아,자동차
023590,다우기술,인터넷·SW·게임
322000,HD현대에너지솔루션,전력기기·에너지
008770,호텔신라,유통·음식료
001800,오리온홀딩스,지주·기타
020560,아시아나항공,운송·물류
097230,HJ중공업,조선·기계
001430,세아베스틸지주,철강·비철
361610,SK아이이테크놀로지,2차전지
006280,GC녹십자,제약·바이오
000120,CJ대한통운,운송·물류
007810,코리아써키트,IT·전자부품
294870,HDC현대산업개발,건설·부동산
069620,대웅제약,제약·바이오
298020,효성티앤씨,화학·소재
001120,LX인터내셔널,지주·기타
229640,LS에코에너지,전력기기·에너지
093370,후성,화학·소재
001740,SK네트웍스,지주·기타
196170,알테오젠,제약·바이오
086520,에코프로,2차전지
247540,에코프로비엠,2차전지
277810,레인보우로보틱스,로봇·자동화
036930,주성엔지니어링,반도체
240810,원익IPS,반도체
058470,리노공업,반도체
039030,이오테크닉스,반도체
028300,에이치엘비,제약·바이오
214450,파마리서치,제약·바이오
087010,펩트론,제약·바이오
222800,심텍,IT·전자부품
298380,에이비엘바이오,제약·바이오
000250,삼천당제약,제약·바이오
403870,HPSP,반도체
319660,피에스케이,반도체
108490,로보티즈,로봇·자동화
141080,리가켐바이오,제약·바이오
257720,실리콘투,화장품·소비재
095340,ISC,반도체
440110,파두,반도체
084370,유진테크,반도체
310210,보로노이,제약·바이오
131290,티에스이,반도체
145020,휴젤,제약·바이오
064760,토카이카본코리아,반도체
214370,케어젠,제약·바이오
347850,디앤디파마텍,제약·바이오
319400,현대무벡스,로봇·자동화
031980,피에스케이홀딩스,반도체
080220,제주반도체,반도체
357780,솔브레인,반도체
095610,테스,반도체
178320,서진시스템,IT·전자부품
237690,에스티팜,제약·바이오
067310,하나마이크론,반도체
005290,동진쎄미켐,반도체
